label,id,rodada
SANxCFC-1-turno-2022,t8pOhl-syQg,2
SANxCUI-1-turno-2022,8fUKwN-h7Ag,5
SANxCEA-1-turno-2022,m3uFohhtyRw,7
SANxACG-1-turno-2022,zAAtCkROT4g,16
SANxAVA-1-turno-2022,xdLOj2YK0cA,17
SANxJUV-1-turno-2022,4vrQarQDTec,12
GOIxRBB-1-turno-2022,cES7PP84aQU,8
GOIxCFC-1-turno-2022,tJvCfCaCuOI,1
GOIxCUI-1-turno-2022,8-uQru6Jk6E,14
GOIxCEA-1-turno-2022,ux1fx_xP2uk,11
GOIxACG-1-turno-2022,Q2Y06OQZZjk,5
GOIxAVA-1-turno-2022,YJzVMLMyijQ,3
GOIxJUV-1-turno-2022,bNX4HvOQyK8,17
RBBxCFC-1-turno-2022,tK-OD4ieoAE,12
RBBxCUI-1-turno-2022,iBOhm0MCinQ,11
RBBxCEA-1-turno-2022,wYtjS5gcUA0,4
RBBxACG-1-turno-2022,Pctl8-S1daU,2
RBBxAVA-1-turno-2022,m_smzJFxiIE,16
RBBxJUV-1-turno-2022,El2yeAtsD5U,1
CFCxCUI-1-turno-2022,WMhFjxplPrs,19
CFCxCEA-1-turno-2022,---6M5M6bZQ,9
CFCxACG-1-turno-2022,0uULKdMX9fc,7
CFCxAVA-1-turno-2022,5Virp_DeiJ0,5
CFCxJUV-1-turno-2022,k08hRDywdNs,16
CUIxCEA-1-turno-2022,MrM8YTptbpA,13
CUIxACG-1-turno-2022,kusHbdDHzyM,4
CUIxAVA-1-turno-2022,J5gFh7Y4UJ0,15
CUIxJUV-1-turno-2022,pfGvOIUTdpo,3
CEAxACG-1-turno-2022,rS2EKCJxdCw,14
CEAxAVA-1-turno-2022,r6ikAWXNAAg,18
CEAxJUV-1-turno-2022,YnDm8-T-EKg,19
ACGxAVA-1-turno-2022,Z4ZoLty1LK4,10
ACGxJUV-1-turno-2022,BPe-M2A0sY0,13
AVAxJUV-1-turno-2022,qFVikWyYcSg,6
