label,id,rodada,views
camxsan-2turno-2023,NEPH10ZfG0Y,21,415514
amgxsao-2turno-2023,r84HfWkg-O0,21,370898
forxcor-2turno-2023,G3qG2jqI4Zo,21,183307
palxvas-2turno-2023,OI2HO6MfmiU,21,656756
capxflu-2turno-2023,sPdyQLFQr5c,21,131446
grexcru-2turno-2023,WoKQtmYBHgY,21,613226
goixint-2turno-2023,pZcXU6ePO_U,22,95244
capxcam-2turno-2023,GVIroDKbgdM,22,161709
botxfla-2turno-2023,nna5MPybgD8,22,2473710
grexcui-2turno-2023,Y_LySqfDBpw,22,410731
corxpal-2turno-2023,lHj508Eflsc,22,632666
fluxfor-2turno-2023,m0SfHf3hqiE,22,209014
bahxvas-2turno-2023,hehQTravoXM,22,413131
cruxbra-2turno-2023,gz4Ycl0_FwY,22,123636
amgxsan-2turno-2023,_zaVpuPh0MI,22,239079
flaxcap-2turno-2023,ak15L2yNHhI,23,1128727
intxsao-2turno-2023,eZ-ol-BqeqA,23,843934
forxcor-2turno-2023,Ar1QKv_-Vb8,23,733643
crcxbah-2turno-2023,jOImdYYtVW8,23,526862
braxgre-2turno-2023,UfRFpUw_4kU,23,282463
sanxcru-2turno-2023,VEw8AHmPbxE,23,351474
cuixamg-2turno-2023,6koZrYFETI8,23,195882
palxgoi-2turno-2023,eEn-zFECvW4,23,580540
vasxflu-2turno-2023,VOk_kg0uiYI,23,2180630
camxbot-2turno-2023,ZjH8fVh-_wk,23,960181
corxgre-1turno-2023,QNYZIILYBv4,15,2991673
bahxsan-2turno-2023,3Kwrjbqp9Uk,24,803026
amgxbra-2turno-2023,qVzrSuYixK0,24,267595
goixfla-2turno-2023,sbcm-82EWss,24,404706
saoxfor-2turno-2023,Gvqn75hii-Y,24,816665
fluxcru-2turno-2023,fh2rSEVCGvA,24,549692
vasxcor-2turno-2023,Alg8-7gjqX0,24,1398951
capxint-2turno-2023,5XdxaMOLIIg,24,124856
grexpal-2turno-2023,bNY1b2ljM2Y,24,944536
corxbot-2turno-2023,hhrg7cu-nMA,24,1387841
camxcui-2turno-2023,6itV1DqTNnM,24,395307
amgxvas-1turno-2023,_y9dLZvhHO0,15,818550
saoxcfc-2turno-2023,Ps_K_BAmePg,22,588364
flaxbah-2turno-2023,rkCM_w0w4rQ,25,1160332
forxgre-2turno-2023,rAJ-u7ZGw7s,25,328012
cuixflu-2turno-2023,ODNwwb131kc,25,492811
saoxcor-2turno-2023,D6O7dqTy9P8,25,2123531
intxcam-2turno-2023,YVCxLM-p9Wg,25,845795
cfcxcap-2turno-2023,Ot20JfF3VNo,25,212163
sanxvas-2turno-2023,LlIH4cN_t2U,25,955598
cruxamg-2turno-2023,0TotX_VPVks,25,182540
braxpal-2turno-2023,t_6ojQeVfgA,25,664045
botxgoi-2turno-2023,cbLHbO0lOcE,25,668531
goixbah-2turno-2023,iuh7upjTStg,26,1804539
vasxsao-2turno-2023,zsQlPD-4egw,26,547272
corxfla-2turno-2023,NTSLHMYnE98,26,1869210
palxsan-2turno-2023,2eEONdyxnRY,26,1178885
fluxbot-2turno-2023,etDqq0AVzLg,26,870890
intxgre-2turno-2023,1BwRkcSy96I,26,1138597
capxbra-2turno-2023,DamL8Juhi_g,26,117077
camxcfc-2turno-2023,Jkw8WbjWi9w,26,416585
forxamg-2turno-2023,5RNGb3GCy1Y,26,374207
cuixcru-2turno-2023,9_i_Iq1-lko,26,263893
grexcap-2turno-2023,BbzTgrijT1A,27,374906
cfcxcui-2turno-2023,qvv9BfDHydg,27,311437
amgxbot-2turno-2023,eUhFfjnGDsg,27,394158
goixsao-2turno-2023,6Ui7Dynw2iA,27,452379
bahxint-2turno-2023,ePG7Xot-2bo,27,419574
vasxfor-2turno-2023,8x-Ym2VqEhU,27,858696
cruxfla-2turno-2023,1UnxgatcDqQ,27,1290609
palxcam-2turno-2023,UT5hLz8ANoY,27,984580
sanxbra-2turno-2023,GH81W9pMQDw,27,621835
fluxcor-2turno-2023,1YvjcvMCI3k,27,2338171
cuixgoi-2turno-2023,mQtOdt1IMEU,28,156833
saoxgre-2turno-2023,AGTt9MEJ8OE,28,1401153
bahxfor-2turno-2023,AGZLtyGo600,28,467888
botxcap-2turno-2023,fwHheaL2GDo,28,752630
flaxvas-2turno-2023,XR69lJ_B7kE,28,1810803
intxsan-2turno-2023,rtJXoblicWk,28,2918942
camxcru-2turno-2023,j02eYyzuTk0,28,932743
corxamg-2turno-2023,zBYDCJKvEZM,28,699461
braxflu-2turno-2023,vBxJiAIeJ6k,28,295104
cfcxpal-2turno-2023,Dlw7ckPUHzA,28,518720
braxcam-2turno-2023,k2jWqYrSDko,29,317447
fluxgoi-2turno-2023,5vXYLs90d98,29,627950
capxamg-2turno-2023,LaE3MLAe1QY,29,114746
cruxbah-2turno-2023,Mv9Cb8WlrFc,29,494257
palxsao-2turno-2023,E5Yn6JdFC9A,29,2193130
cuixcor-2turno-2023,YJOJnimeEzk,29,860308
grexfla-2turno-2023,jBdJJhGEsu8,29,2095067
vasxint-2turno-2023,jBdJJhGEsu8,29,2095067
sanxcor-2turno-2023,AvDZyOo4ST0,29,581098
amgxgre-2turno-2023,kKRkT01W1AM,30,1136390
palxbah-2turno-2023,zE4RVpyHQgE,30,554654
